# x	f(x)
0.001000	0.000128
0.002000	0.000281
0.003000	0.000448
0.004000	0.000624
0.005000	0.000808
0.006000	0.000999
0.007000	0.001196
0.008000	0.001399
0.009000	0.001607
0.010000	0.001820
0.011000	0.002037
0.012000	0.002258
0.013000	0.002484
0.014000	0.002713
0.015000	0.002946
0.016000	0.003182
0.017000	0.003422
0.018000	0.003664
0.019000	0.003910
0.020000	0.004159
0.021000	0.004411
0.022000	0.004666
0.023000	0.004924
0.024000	0.005184
0.025000	0.005447
0.026000	0.005713
0.027000	0.005981
0.028000	0.006252
0.029000	0.006525
0.030000	0.006800
0.031000	0.007078
0.032000	0.007358
0.033000	0.007640
0.034000	0.007925
0.035000	0.008212
0.036000	0.008501
0.037000	0.008792
0.038000	0.009085
0.039000	0.009380
0.040000	0.009677
0.041000	0.009976
0.042000	0.010278
0.043000	0.010581
0.044000	0.010886
0.045000	0.011193
0.046000	0.011502
0.047000	0.011813
0.048000	0.012125
0.049000	0.012440
0.050000	0.012756
0.051000	0.013074
0.052000	0.013394
0.053000	0.013715
0.054000	0.014038
0.055000	0.014363
0.056000	0.014690
0.057000	0.015018
0.058000	0.015348
0.059000	0.015680
0.060000	0.016013
0.061000	0.016348
0.062000	0.016685
0.063000	0.017023
0.064000	0.017363
0.065000	0.017704
0.066000	0.018047
0.067000	0.018391
0.068000	0.018737
0.069000	0.019084
0.070000	0.019433
0.071000	0.019784
0.072000	0.020136
0.073000	0.020489
0.074000	0.020844
0.075000	0.021201
0.076000	0.021558
0.077000	0.021918
0.078000	0.022278
0.079000	0.022641
0.080000	0.023004
0.081000	0.023369
0.082000	0.023735
0.083000	0.024103
0.084000	0.024472
0.085000	0.024843
0.086000	0.025215
0.087000	0.025588
0.088000	0.025962
0.089000	0.026338
0.090000	0.026716
0.091000	0.027094
0.092000	0.027474
0.093000	0.027855
0.094000	0.028238
0.095000	0.028622
0.096000	0.029007
0.097000	0.029393
0.098000	0.029781
0.099000	0.030170
0.100000	0.030560
0.101000	0.030952
0.102000	0.031344
0.103000	0.031738
0.104000	0.032134
0.105000	0.032530
0.106000	0.032928
0.107000	0.033327
0.108000	0.033727
0.109000	0.034128
0.110000	0.034531
0.111000	0.034935
0.112000	0.035340
0.113000	0.035746
0.114000	0.036153
0.115000	0.036562
0.116000	0.036972
0.117000	0.037383
0.118000	0.037795
0.119000	0.038208
0.120000	0.038623
0.121000	0.039038
0.122000	0.039455
0.123000	0.039873
0.124000	0.040292
0.125000	0.040712
0.126000	0.041134
0.127000	0.041556
0.128000	0.041980
0.129000	0.042404
0.130000	0.042830
0.131000	0.043257
0.132000	0.043685
0.133000	0.044115
0.134000	0.044545
0.135000	0.044976
0.136000	0.045409
0.137000	0.045842
0.138000	0.046277
0.139000	0.046713
0.140000	0.047150
0.141000	0.047588
0.142000	0.048027
0.143000	0.048467
0.144000	0.048908
0.145000	0.049350
0.146000	0.049794
0.147000	0.050238
0.148000	0.050683
0.149000	0.051130
0.150000	0.051577
0.151000	0.052026
0.152000	0.052475
0.153000	0.052926
0.154000	0.053378
0.155000	0.053831
0.156000	0.054284
0.157000	0.054739
0.158000	0.055195
0.159000	0.055652
0.160000	0.056110
0.161000	0.056569
0.162000	0.057028
0.163000	0.057489
0.164000	0.057951
0.165000	0.058414
0.166000	0.058878
0.167000	0.059343
0.168000	0.059809
0.169000	0.060276
0.170000	0.060744
0.171000	0.061213
0.172000	0.061683
0.173000	0.062153
0.174000	0.062625
0.175000	0.063098
0.176000	0.063572
0.177000	0.064047
0.178000	0.064523
0.179000	0.064999
0.180000	0.065477
0.181000	0.065956
0.182000	0.066435
0.183000	0.066916
0.184000	0.067397
0.185000	0.067880
0.186000	0.068363
0.187000	0.068848
0.188000	0.069333
0.189000	0.069820
0.190000	0.070307
0.191000	0.070795
0.192000	0.071284
0.193000	0.071774
0.194000	0.072265
0.195000	0.072757
0.196000	0.073250
0.197000	0.073744
0.198000	0.074239
0.199000	0.074734
0.200000	0.075231
0.201000	0.075729
0.202000	0.076227
0.203000	0.076726
0.204000	0.077227
0.205000	0.077728
0.206000	0.078230
0.207000	0.078733
0.208000	0.079237
0.209000	0.079742
0.210000	0.080247
0.211000	0.080754
0.212000	0.081262
0.213000	0.081770
0.214000	0.082279
0.215000	0.082790
0.216000	0.083301
0.217000	0.083813
0.218000	0.084326
0.219000	0.084840
0.220000	0.085354
0.221000	0.085870
0.222000	0.086386
0.223000	0.086904
0.224000	0.087422
0.225000	0.087941
0.226000	0.088461
0.227000	0.088982
0.228000	0.089504
0.229000	0.090026
0.230000	0.090550
0.231000	0.091074
0.232000	0.091599
0.233000	0.092126
0.234000	0.092653
0.235000	0.093180
0.236000	0.093709
0.237000	0.094239
0.238000	0.094769
0.239000	0.095300
0.240000	0.095832
0.241000	0.096365
0.242000	0.096899
0.243000	0.097434
0.244000	0.097969
0.245000	0.098506
0.246000	0.099043
0.247000	0.099581
0.248000	0.100120
0.249000	0.100660
0.250000	0.101200
0.251000	0.101742
0.252000	0.102284
0.253000	0.102827
0.254000	0.103371
0.255000	0.103916
0.256000	0.104461
0.257000	0.105008
0.258000	0.105555
0.259000	0.106103
0.260000	0.106652
0.261000	0.107202
0.262000	0.107752
0.263000	0.108304
0.264000	0.108856
0.265000	0.109409
0.266000	0.109963
0.267000	0.110518
0.268000	0.111073
0.269000	0.111629
0.270000	0.112187
0.271000	0.112745
0.272000	0.113303
0.273000	0.113863
0.274000	0.114423
0.275000	0.114984
0.276000	0.115546
0.277000	0.116109
0.278000	0.116673
0.279000	0.117237
0.280000	0.117802
0.281000	0.118368
0.282000	0.118935
0.283000	0.119503
0.284000	0.120071
0.285000	0.120640
0.286000	0.121210
0.287000	0.121781
0.288000	0.122353
0.289000	0.122925
0.290000	0.123498
0.291000	0.124072
0.292000	0.124647
0.293000	0.125223
0.294000	0.125799
0.295000	0.126376
0.296000	0.126954
0.297000	0.127533
0.298000	0.128112
0.299000	0.128692
0.300000	0.129273
0.301000	0.129855
0.302000	0.130438
0.303000	0.131021
0.304000	0.131605
0.305000	0.132190
0.306000	0.132776
0.307000	0.133362
0.308000	0.133949
0.309000	0.134537
0.310000	0.135126
0.311000	0.135716
0.312000	0.136306
0.313000	0.136897
0.314000	0.137489
0.315000	0.138081
0.316000	0.138675
0.317000	0.139269
0.318000	0.139864
0.319000	0.140460
0.320000	0.141056
0.321000	0.141653
0.322000	0.142251
0.323000	0.142850
0.324000	0.143449
0.325000	0.144049
0.326000	0.144650
0.327000	0.145252
0.328000	0.145854
0.329000	0.146458
0.330000	0.147062
0.331000	0.147666
0.332000	0.148272
0.333000	0.148878
0.334000	0.149485
0.335000	0.150093
0.336000	0.150701
0.337000	0.151310
0.338000	0.151920
0.339000	0.152531
0.340000	0.153142
0.341000	0.153754
0.342000	0.154367
0.343000	0.154981
0.344000	0.155595
0.345000	0.156210
0.346000	0.156826
0.347000	0.157443
0.348000	0.158060
0.349000	0.158678
0.350000	0.159297
0.351000	0.159917
0.352000	0.160537
0.353000	0.161158
0.354000	0.161779
0.355000	0.162402
0.356000	0.163025
0.357000	0.163649
0.358000	0.164274
0.359000	0.164899
0.360000	0.165525
0.361000	0.166152
0.362000	0.166779
0.363000	0.167408
0.364000	0.168037
0.365000	0.168666
0.366000	0.169297
0.367000	0.169928
0.368000	0.170560
0.369000	0.171192
0.370000	0.171825
0.371000	0.172459
0.372000	0.173094
0.373000	0.173730
0.374000	0.174366
0.375000	0.175003
0.376000	0.175640
0.377000	0.176278
0.378000	0.176917
0.379000	0.177557
0.380000	0.178198
0.381000	0.178839
0.382000	0.179481
0.383000	0.180123
0.384000	0.180766
0.385000	0.181410
0.386000	0.182055
0.387000	0.182700
0.388000	0.183346
0.389000	0.183993
0.390000	0.184641
0.391000	0.185289
0.392000	0.185938
0.393000	0.186587
0.394000	0.187238
0.395000	0.187889
0.396000	0.188540
0.397000	0.189193
0.398000	0.189846
0.399000	0.190499
0.400000	0.191154
0.401000	0.191809
0.402000	0.192465
0.403000	0.193122
0.404000	0.193779
0.405000	0.194437
0.406000	0.195095
0.407000	0.195755
0.408000	0.196415
0.409000	0.197075
0.410000	0.197737
0.411000	0.198399
0.412000	0.199062
0.413000	0.199725
0.414000	0.200389
0.415000	0.201054
0.416000	0.201719
0.417000	0.202386
0.418000	0.203053
0.419000	0.203720
0.420000	0.204388
0.421000	0.205057
0.422000	0.205727
0.423000	0.206397
0.424000	0.207068
0.425000	0.207740
0.426000	0.208412
0.427000	0.209085
0.428000	0.209759
0.429000	0.210433
0.430000	0.211108
0.431000	0.211784
0.432000	0.212460
0.433000	0.213137
0.434000	0.213815
0.435000	0.214494
0.436000	0.215173
0.437000	0.215852
0.438000	0.216533
0.439000	0.217214
0.440000	0.217896
0.441000	0.218578
0.442000	0.219261
0.443000	0.219945
0.444000	0.220630
0.445000	0.221315
0.446000	0.222000
0.447000	0.222687
0.448000	0.223374
0.449000	0.224062
0.450000	0.224750
0.451000	0.225439
0.452000	0.226129
0.453000	0.226820
0.454000	0.227511
0.455000	0.228203
0.456000	0.228895
0.457000	0.229588
0.458000	0.230282
0.459000	0.230976
0.460000	0.231671
0.461000	0.232367
0.462000	0.233063
0.463000	0.233760
0.464000	0.234458
0.465000	0.235157
0.466000	0.235856
0.467000	0.236555
0.468000	0.237256
0.469000	0.237957
0.470000	0.238658
0.471000	0.239360
0.472000	0.240063
0.473000	0.240767
0.474000	0.241471
0.475000	0.242176
0.476000	0.242882
0.477000	0.243588
0.478000	0.244295
0.479000	0.245002
0.480000	0.245710
0.481000	0.246419
0.482000	0.247129
0.483000	0.247839
0.484000	0.248550
0.485000	0.249261
0.486000	0.249973
0.487000	0.250686
0.488000	0.251399
0.489000	0.252113
0.490000	0.252828
0.491000	0.253543
0.492000	0.254259
0.493000	0.254975
0.494000	0.255692
0.495000	0.256410
0.496000	0.257129
0.497000	0.257848
0.498000	0.258568
0.499000	0.259288
0.500000	0.260009
0.501000	0.260731
0.502000	0.261453
0.503000	0.262176
0.504000	0.262899
0.505000	0.263624
0.506000	0.264349
0.507000	0.265074
0.508000	0.265800
0.509000	0.266527
0.510000	0.267254
0.511000	0.267982
0.512000	0.268711
0.513000	0.269440
0.514000	0.270170
0.515000	0.270901
0.516000	0.271632
0.517000	0.272364
0.518000	0.273096
0.519000	0.273829
0.520000	0.274563
0.521000	0.275297
0.522000	0.276032
0.523000	0.276768
0.524000	0.277504
0.525000	0.278241
0.526000	0.278979
0.527000	0.279717
0.528000	0.280455
0.529000	0.281195
0.530000	0.281935
0.531000	0.282675
0.532000	0.283417
0.533000	0.284158
0.534000	0.284901
0.535000	0.285644
0.536000	0.286388
0.537000	0.287132
0.538000	0.287877
0.539000	0.288623
0.540000	0.289369
0.541000	0.290116
0.542000	0.290863
0.543000	0.291611
0.544000	0.292360
0.545000	0.293109
0.546000	0.293859
0.547000	0.294610
0.548000	0.295361
0.549000	0.296113
0.550000	0.296865
0.551000	0.297618
0.552000	0.298372
0.553000	0.299126
0.554000	0.299881
0.555000	0.300636
0.556000	0.301392
0.557000	0.302149
0.558000	0.302907
0.559000	0.303664
0.560000	0.304423
0.561000	0.305182
0.562000	0.305942
0.563000	0.306702
0.564000	0.307463
0.565000	0.308225
0.566000	0.308987
0.567000	0.309750
0.568000	0.310513
0.569000	0.311277
0.570000	0.312042
0.571000	0.312807
0.572000	0.313573
0.573000	0.314340
0.574000	0.315107
0.575000	0.315875
0.576000	0.316643
0.577000	0.317412
0.578000	0.318181
0.579000	0.318951
0.580000	0.319722
0.581000	0.320493
0.582000	0.321265
0.583000	0.322038
0.584000	0.322811
0.585000	0.323585
0.586000	0.324359
0.587000	0.325134
0.588000	0.325910
0.589000	0.326686
0.590000	0.327463
0.591000	0.328240
0.592000	0.329018
0.593000	0.329796
0.594000	0.330576
0.595000	0.331355
0.596000	0.332136
0.597000	0.332917
0.598000	0.333698
0.599000	0.334480
0.600000	0.335263
0.601000	0.336046
0.602000	0.336830
0.603000	0.337615
0.604000	0.338400
0.605000	0.339186
0.606000	0.339972
0.607000	0.340759
0.608000	0.341547
0.609000	0.342335
0.610000	0.343123
0.611000	0.343913
0.612000	0.344703
0.613000	0.345493
0.614000	0.346284
0.615000	0.347076
0.616000	0.347868
0.617000	0.348661
0.618000	0.349454
0.619000	0.350248
0.620000	0.351043
0.621000	0.351838
0.622000	0.352634
0.623000	0.353430
0.624000	0.354227
0.625000	0.355025
0.626000	0.355823
0.627000	0.356622
0.628000	0.357421
0.629000	0.358221
0.630000	0.359022
0.631000	0.359823
0.632000	0.360624
0.633000	0.361427
0.634000	0.362230
0.635000	0.363033
0.636000	0.363837
0.637000	0.364642
0.638000	0.365447
0.639000	0.366253
0.640000	0.367059
0.641000	0.367866
0.642000	0.368673
0.643000	0.369482
0.644000	0.370290
0.645000	0.371100
0.646000	0.371909
0.647000	0.372720
0.648000	0.373531
0.649000	0.374342
0.650000	0.375155
0.651000	0.375967
0.652000	0.376781
0.653000	0.377595
0.654000	0.378409
0.655000	0.379224
0.656000	0.380040
0.657000	0.380856
0.658000	0.381673
0.659000	0.382490
0.660000	0.383308
0.661000	0.384127
0.662000	0.384946
0.663000	0.385766
0.664000	0.386586
0.665000	0.387407
0.666000	0.388228
0.667000	0.389050
0.668000	0.389873
0.669000	0.390696
0.670000	0.391520
0.671000	0.392344
0.672000	0.393169
0.673000	0.393994
0.674000	0.394820
0.675000	0.395647
0.676000	0.396474
0.677000	0.397302
0.678000	0.398130
0.679000	0.398959
0.680000	0.399789
0.681000	0.400619
0.682000	0.401449
0.683000	0.402280
0.684000	0.403112
0.685000	0.403944
0.686000	0.404777
0.687000	0.405611
0.688000	0.406445
0.689000	0.407279
0.690000	0.408115
0.691000	0.408950
0.692000	0.409787
0.693000	0.410623
0.694000	0.411461
0.695000	0.412299
0.696000	0.413137
0.697000	0.413976
0.698000	0.414816
0.699000	0.415656
0.700000	0.416497
0.701000	0.417339
0.702000	0.418181
0.703000	0.419023
0.704000	0.419866
0.705000	0.420710
0.706000	0.421554
0.707000	0.422399
0.708000	0.423244
0.709000	0.424090
0.710000	0.424936
0.711000	0.425783
0.712000	0.426631
0.713000	0.427479
0.714000	0.428328
0.715000	0.429177
0.716000	0.430027
0.717000	0.430877
0.718000	0.431728
0.719000	0.432580
0.720000	0.433432
0.721000	0.434285
0.722000	0.435138
0.723000	0.435991
0.724000	0.436846
0.725000	0.437701
0.726000	0.438556
0.727000	0.439412
0.728000	0.440269
0.729000	0.441126
0.730000	0.441983
0.731000	0.442842
0.732000	0.443700
0.733000	0.444560
0.734000	0.445420
0.735000	0.446280
0.736000	0.447141
0.737000	0.448002
0.738000	0.448865
0.739000	0.449727
0.740000	0.450590
0.741000	0.451454
0.742000	0.452319
0.743000	0.453183
0.744000	0.454049
0.745000	0.454915
0.746000	0.455781
0.747000	0.456648
0.748000	0.457516
0.749000	0.458384
0.750000	0.459253
0.751000	0.460122
0.752000	0.460992
0.753000	0.461862
0.754000	0.462733
0.755000	0.463605
0.756000	0.464477
0.757000	0.465350
0.758000	0.466223
0.759000	0.467096
0.760000	0.467971
0.761000	0.468845
0.762000	0.469721
0.763000	0.470597
0.764000	0.471473
0.765000	0.472350
0.766000	0.473228
0.767000	0.474106
0.768000	0.474984
0.769000	0.475864
0.770000	0.476743
0.771000	0.477624
0.772000	0.478504
0.773000	0.479386
0.774000	0.480268
0.775000	0.481150
0.776000	0.482033
0.777000	0.482917
0.778000	0.483801
0.779000	0.484685
0.780000	0.485570
0.781000	0.486456
0.782000	0.487342
0.783000	0.488229
0.784000	0.489117
0.785000	0.490005
0.786000	0.490893
0.787000	0.491782
0.788000	0.492671
0.789000	0.493562
0.790000	0.494452
0.791000	0.495343
0.792000	0.496235
0.793000	0.497127
0.794000	0.498020
0.795000	0.498913
0.796000	0.499807
0.797000	0.500702
0.798000	0.501596
0.799000	0.502492
0.800000	0.503388
0.801000	0.504285
0.802000	0.505182
0.803000	0.506079
0.804000	0.506977
0.805000	0.507876
0.806000	0.508775
0.807000	0.509675
0.808000	0.510576
0.809000	0.511476
0.810000	0.512378
0.811000	0.513280
0.812000	0.514182
0.813000	0.515085
0.814000	0.515989
0.815000	0.516893
0.816000	0.517797
0.817000	0.518703
0.818000	0.519608
0.819000	0.520514
0.820000	0.521421
0.821000	0.522329
0.822000	0.523236
0.823000	0.524145
0.824000	0.525054
0.825000	0.525963
0.826000	0.526873
0.827000	0.527783
0.828000	0.528695
0.829000	0.529606
0.830000	0.530518
0.831000	0.531431
0.832000	0.532344
0.833000	0.533258
0.834000	0.534172
0.835000	0.535087
0.836000	0.536002
0.837000	0.536918
0.838000	0.537834
0.839000	0.538751
0.840000	0.539668
0.841000	0.540586
0.842000	0.541505
0.843000	0.542424
0.844000	0.543343
0.845000	0.544263
0.846000	0.545184
0.847000	0.546105
0.848000	0.547027
0.849000	0.547949
0.850000	0.548872
0.851000	0.549795
0.852000	0.550719
0.853000	0.551643
0.854000	0.552568
0.855000	0.553493
0.856000	0.554419
0.857000	0.555345
0.858000	0.556272
0.859000	0.557200
0.860000	0.558128
0.861000	0.559056
0.862000	0.559985
0.863000	0.560915
0.864000	0.561845
0.865000	0.562775
0.866000	0.563707
0.867000	0.564638
0.868000	0.565570
0.869000	0.566503
0.870000	0.567436
0.871000	0.568370
0.872000	0.569304
0.873000	0.570239
0.874000	0.571175
0.875000	0.572110
0.876000	0.573047
0.877000	0.573984
0.878000	0.574921
0.879000	0.575859
0.880000	0.576797
0.881000	0.577736
0.882000	0.578676
0.883000	0.579616
0.884000	0.580557
0.885000	0.581498
0.886000	0.582439
0.887000	0.583381
0.888000	0.584324
0.889000	0.585267
0.890000	0.586211
0.891000	0.587155
0.892000	0.588100
0.893000	0.589045
0.894000	0.589991
0.895000	0.590937
0.896000	0.591884
0.897000	0.592831
0.898000	0.593779
0.899000	0.594727
0.900000	0.595676
0.901000	0.596625
0.902000	0.597575
0.903000	0.598526
0.904000	0.599477
0.905000	0.600428
0.906000	0.601380
0.907000	0.602333
0.908000	0.603286
0.909000	0.604239
0.910000	0.605193
0.911000	0.606148
0.912000	0.607103
0.913000	0.608058
0.914000	0.609014
0.915000	0.609971
0.916000	0.610928
0.917000	0.611886
0.918000	0.612844
0.919000	0.613803
0.920000	0.614762
0.921000	0.615722
0.922000	0.616682
0.923000	0.617642
0.924000	0.618604
0.925000	0.619565
0.926000	0.620528
0.927000	0.621491
0.928000	0.622454
0.929000	0.623418
0.930000	0.624382
0.931000	0.625347
0.932000	0.626312
0.933000	0.627278
0.934000	0.628244
0.935000	0.629211
0.936000	0.630179
0.937000	0.631147
0.938000	0.632115
0.939000	0.633084
0.940000	0.634053
0.941000	0.635023
0.942000	0.635994
0.943000	0.636965
0.944000	0.637936
0.945000	0.638908
0.946000	0.639881
0.947000	0.640854
0.948000	0.641827
0.949000	0.642801
0.950000	0.643776
0.951000	0.644751
0.952000	0.645726
0.953000	0.646702
0.954000	0.647679
0.955000	0.648656
0.956000	0.649634
0.957000	0.650612
0.958000	0.651590
0.959000	0.652569
0.960000	0.653549
0.961000	0.654529
0.962000	0.655510
0.963000	0.656491
0.964000	0.657472
0.965000	0.658455
0.966000	0.659437
0.967000	0.660420
0.968000	0.661404
0.969000	0.662388
0.970000	0.663373
0.971000	0.664358
0.972000	0.665344
0.973000	0.666330
0.974000	0.667317
0.975000	0.668304
0.976000	0.669292
0.977000	0.670280
0.978000	0.671268
0.979000	0.672258
0.980000	0.673247
0.981000	0.674238
0.982000	0.675228
0.983000	0.676220
0.984000	0.677211
0.985000	0.678204
0.986000	0.679196
0.987000	0.680189
0.988000	0.681183
0.989000	0.682177
0.990000	0.683172
0.991000	0.684167
0.992000	0.685163
0.993000	0.686159
0.994000	0.687156
0.995000	0.688153
0.996000	0.689151
0.997000	0.690149
0.998000	0.691148
0.999000	0.692147
