x	y
1.000000e-04	8.633225e+00
1.012186e-04	8.621113e+00
1.024521e-04	8.609002e+00
1.037007e-04	8.596890e+00
1.049644e-04	8.584778e+00
1.062436e-04	8.572667e+00
1.075383e-04	8.560555e+00
1.088488e-04	8.548444e+00
1.101753e-04	8.536332e+00
1.115180e-04	8.524221e+00
1.128770e-04	8.512109e+00
1.142525e-04	8.499998e+00
1.156449e-04	8.487886e+00
1.170542e-04	8.475775e+00
1.184807e-04	8.463664e+00
1.199245e-04	8.451552e+00
1.213860e-04	8.439441e+00
1.228652e-04	8.427330e+00
1.243625e-04	8.415218e+00
1.258781e-04	8.403107e+00
1.274121e-04	8.390996e+00
1.289648e-04	8.378884e+00
1.305364e-04	8.366773e+00
1.321272e-04	8.354662e+00
1.337374e-04	8.342551e+00
1.353672e-04	8.330439e+00
1.370168e-04	8.318328e+00
1.386866e-04	8.306217e+00
1.403767e-04	8.294106e+00
1.420874e-04	8.281995e+00
1.438189e-04	8.269884e+00
1.455716e-04	8.257773e+00
1.473456e-04	8.245662e+00
1.491412e-04	8.233551e+00
1.509587e-04	8.221440e+00
1.527983e-04	8.209329e+00
1.546604e-04	8.197218e+00
1.565452e-04	8.185107e+00
1.584529e-04	8.172996e+00
1.603839e-04	8.160885e+00
1.623384e-04	8.148774e+00
1.643168e-04	8.136663e+00
1.663192e-04	8.124552e+00
1.683460e-04	8.112442e+00
1.703976e-04	8.100331e+00
1.724741e-04	8.088220e+00
1.745760e-04	8.076109e+00
1.767035e-04	8.063999e+00
1.788569e-04	8.051888e+00
1.810365e-04	8.039777e+00
1.832427e-04	8.027667e+00
1.854758e-04	8.015556e+00
1.877361e-04	8.003446e+00
1.900239e-04	7.991335e+00
1.923396e-04	7.979224e+00
1.946836e-04	7.967114e+00
1.970561e-04	7.955004e+00
1.994575e-04	7.942893e+00
2.018882e-04	7.930783e+00
2.043485e-04	7.918672e+00
2.068388e-04	7.906562e+00
2.093594e-04	7.894452e+00
2.119108e-04	7.882341e+00
2.144932e-04	7.870231e+00
2.171071e-04	7.858121e+00
2.197529e-04	7.846011e+00
2.224309e-04	7.833901e+00
2.251416e-04	7.821791e+00
2.278853e-04	7.809680e+00
2.306624e-04	7.797570e+00
2.334733e-04	7.785460e+00
2.363186e-04	7.773350e+00
2.391985e-04	7.761240e+00
2.421134e-04	7.749131e+00
2.450640e-04	7.737021e+00
2.480504e-04	7.724911e+00
2.510733e-04	7.712801e+00
2.541330e-04	7.700691e+00
2.572300e-04	7.688582e+00
2.603647e-04	7.676472e+00
2.635376e-04	7.664362e+00
2.667492e-04	7.652253e+00
2.700000e-04	7.640143e+00
2.732903e-04	7.628034e+00
